player_key,player_id,player_image,player_name,player_number,player_country,player_type,player_age,player_match_played,player_goals,player_yellow_cards,player_red_cards,player_injured,player_substitute_out,player_substitutes_on_bench,player_assists,player_is_captain,player_shots_total,player_goals_conceded,player_fouls_committed,player_tackles,player_blocks,player_crosses_total,player_interceptions,player_clearances,player_dispossesed,player_saves,player_inside_box_saves,player_duels_total,player_duels_won,player_dribble_attempts,player_dribble_succ,player_pen_comm,player_pen_won,player_pen_scored,player_pen_missed,player_passes,player_passes_accuracy,player_key_passes,player_woordworks,player_rating,player_birthdate
731768275,731768275,https://apiv3.apifootball.com/badges/players/82088_n-guzman.jpg,N. Guzmán,1,Indisponible,Goalkeepers,37,3,0,1,0,No,0,0,0,2,Indisponible,36,Indisponible,2,Indisponible,Indisponible,Indisponible,32,Indisponible,119,55,26,23,1,Indisponible,Indisponible,Indisponible,0,0,1417,1029,1,Indisponible,7.02,1986-02-10
3459493093,3459493093,https://apiv3.apifootball.com/badges/players/62003_f-rodriguez.jpg,F. Rodríguez,25,Indisponible,Goalkeepers,34,0,0,0,0,No,0,3,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1989-04-03
4201049510,4201049510,https://apiv3.apifootball.com/badges/players/87026_a-delgado.jpg,A. Delgado,182,Indisponible,Goalkeepers,21,0,0,0,0,No,0,0,0,0,Indisponible,1,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1,Indisponible,1,1,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,10,6,Indisponible,Indisponible,6.70,2002-02-18
597662395,597662395,Indisponible,A. Ramos,Indisponible,Indisponible,Goalkeepers,20,0,0,0,0,No,0,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2003-02-05
1936290546,1936290546,https://apiv3.apifootball.com/badges/players/33136_samir.jpg,Samir,3,Indisponible,Defenders,28,1,0,1,0,No,1,2,0,0,18,0,33,41,13,3,54,69,6,Indisponible,Indisponible,216,140,6,4,Indisponible,Indisponible,0,0,1153,1009,5,Indisponible,7.00,1994-12-05
2278270413,2278270413,https://apiv3.apifootball.com/badges/players/287_d-reyes.jpg,D. Reyes,13,Indisponible,Defenders,30,3,0,0,0,No,0,0,0,0,12,0,20,45,26,7,56,103,1,Indisponible,Indisponible,267,152,5,2,Indisponible,Indisponible,0,0,1398,1227,10,Indisponible,7.05,1992-09-19
3978216020,3978216020,https://apiv3.apifootball.com/badges/players/78030_e-tercero.jpg,E. Tercero,15,Indisponible,Defenders,27,0,0,0,0,No,0,3,0,0,2,0,1,6,1,1,3,10,1,Indisponible,Indisponible,23,16,Indisponible,Indisponible,Indisponible,Indisponible,0,0,62,42,Indisponible,Indisponible,6.55,1996-05-06
3428803855,3428803855,https://apiv3.apifootball.com/badges/players/78452_j-angulo.jpg,J. Angulo,27,Indisponible,Defenders,25,3,0,1,0,No,1,0,0,0,11,0,49,99,15,77,36,52,18,Indisponible,Indisponible,422,254,54,28,Indisponible,Indisponible,0,0,1800,1421,30,Indisponible,6.87,1998-01-30
1830176995,1830176995,Indisponible,F. Ordóñez,28,Indisponible,Defenders,22,0,0,0,0,No,0,3,0,0,2,0,1,Indisponible,Indisponible,1,1,3,Indisponible,Indisponible,Indisponible,14,9,5,4,Indisponible,Indisponible,0,0,36,30,2,Indisponible,6.72,2001-06-02
3012373943,3012373943,https://apiv3.apifootball.com/badges/players/96208_v-lorona.jpg,V. Loroña,32,Indisponible,Defenders,24,1,0,0,0,No,0,3,0,0,Indisponible,0,10,18,1,14,3,12,7,Indisponible,Indisponible,72,40,10,5,Indisponible,Indisponible,0,0,199,162,8,Indisponible,6.62,1998-11-16
